ORTHO,PHON,GPMATCH
a,a,(a-a)
à,a,(à-a)
abaissa,abEsa,(a-a.b-b.ai-E.ss-s.a-a)
abaissai,abEsE,(a-a.b-b.ai-E.ss-s.ai-E)
abaissait,abEsE,(a-a.b-b.ai-E.ss-s.ai-E.t-#)
abaisse,abEs,(a-a.b-b.ai-E.ss-s.e-#)
abaissé,abese,(a-a.b-b.ai-e.ss-s.é-e)
abaissée,abese,(a-a.b-b.ai-e.ss-s.é-e.e-#)
abaissées,abese,(a-a.b-b.ai-e.ss-s.é-e.e-#.s-#)
abaissent,abEs,(a-a.b-b.ai-E.ss-s.e-#.n-#.t-#)
abaisser,abese,(a-a.b-b.ai-e.ss-s.er-e)
abaissés,abese,(a-a.b-b.ai-e.ss-s.é-e.s-#)
abajoues,abaZu,(a-a.b-b.a-a.j-Z.ou-u.e-#.s-#)
abandon,ab@d§,(a-a.b-b.an-@.d-d.on-§)
abandonna,ab@dona,(a-a.b-b.an-@.d-d.o-o.nn-n.a-a)
abandonnai,ab@donE,(a-a.b-b.an-@.d-d.o-o.nn-n.ai-E)
abandonnaient,ab@donE,(a-a.b-b.an-@.d-d.o-o.nn-n.ai-E.e-#.n-#.t-#)
abandonnais,ab@donE,(a-a.b-b.an-@.d-d.o-o.nn-n.ai-E.s-#)
abandonnait,ab@donE,(a-a.b-b.an-@.d-d.o-o.nn-n.ai-E.t-#)
abandonnant,ab@don@,(a-a.b-b.an-@.d-d.o-o.nn-n.an-@.t-#)
abandonne,ab@don,(a-a.b-b.an-@.d-d.o-o.nn-n.e-#)
abandonné,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e)
abandonné,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e)
abandonnée,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#)
abandonnée,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#)
abandonnées,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#.s-#)
abandonnées,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e.e-#.s-#)
abandonnent,ab@don,(a-a.b-b.an-@.d-d.o-o.nn-n.e-#.n-#.t-#)
abandonner,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.er-e)
abandonnera,ab@donRa,(a-a.b-b.an-@.d-d.o-o.nn-n.e-#.r-R.a-a)
abandonnerai,ab@donRE,(a-a.b-b.an-@.d-d.o-o.nn-n.e-#.r-R.ai-E)
abandonnerais,ab@donRE,(a-a.b-b.an-@.d-d.o-o.nn-n.e-#.r-R.ai-E.s-#)
abandonnèrent,ab@donER,(a-a.b-b.an-@.d-d.o-o.nn-n.è-E.r-R.e-#.n-#.t-#)
abandonnerons,ab@donR§,(a-a.b-b.an-@.d-d.o-o.nn-n.e-#.r-R.on-§.s-#)
abandonnes,ab@don,(a-a.b-b.an-@.d-d.o-o.nn-n.e-#.s-#)
abandonnés,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e.s-#)
abandonnés,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.é-e.s-#)
abandonnez,ab@done,(a-a.b-b.an-@.d-d.o-o.nn-n.ez-e)
abandonnons,ab@don§,(a-a.b-b.an-@.d-d.o-o.nn-n.on-§.s-#)
abasourdi,abazuRdi,(a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i)
abasourdi,abazuRdi,(a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i)
abasourdie,abazuRdi,(a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.e-#)
abasourdie,abazuRdi,(a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.e-#)
abasourdis,abazuRdi,(a-a.b-b.a-a.s-z.ou-u.r-R.d-d.i-i.s-#)
abat,aba,(a-a.b-b.a-a.t-#)
abats,aba,(a-a.b-b.a-a.t-#.s-#)
abattait,abatE,(a-a.b-b.a-a.tt-t.ai-E.t-#)
abattant,abat@,(a-a.b-b.a-a.tt-t.an-@.t-#)
abattement,abatm@,(a-a.b-b.a-a.tt-t.e-#.m-m.en-@.t-#)
abattent,abat,(a-a.b-b.a-a.tt-t.e-#.n-#.t-#)
abattirent,abatiR,(a-a.b-b.a-a.tt-t.i-i.r-R.e-#.n-#.t-#)
abattis,abati,(a-a.b-b.a-a.tt-t.i-i.s-#)
abattit,abati,(a-a.b-b.a-a.tt-t.i-i.t-#)
abattoir,abatwaR,(a-a.b-b.a-a.tt-t.oi-wa.r-R)
abattoirs,abatwaR,(a-a.b-b.a-a.tt-t.oi-wa.r-R.s-#)
abattrai,abatRE,(a-a.b-b.a-a.tt-t.r-R.ai-E)
abattre,abatR%,(a-a.b-b.a-a.tt-t.r-R.e-%)
abattu,abaty,(a-a.b-b.a-a.tt-t.u-y)
abattu,abaty,(a-a.b-b.a-a.tt-t.u-y)
abattue,abaty,(a-a.b-b.a-a.tt-t.u-y.e-#)
abattue,abaty,(a-a.b-b.a-a.tt-t.u-y.e-#)
abattues,abaty,(a-a.b-b.a-a.tt-t.u-y.e-#.s-#)
abattues,abaty,(a-a.b-b.a-a.tt-t.u-y.e-#.s-#)
abattus,abaty,(a-a.b-b.a-a.tt-t.u-y.s-#)
abattus,abaty,(a-a.b-b.a-a.tt-t.u-y.s-#)
abbaye,abei,(a-a.bb-b.ay-ei.e-#)
abbé,abe,(a-a.bb-b.é-e)
abcès,apsE,(a-a.b-p.c-s.è-E.s-#)
abdomen,abdomEn,(a-a.b-b.d-d.o-o.m-m.en-En)
abdominaux,abdominO,(a-a.b-b.d-d.o-o.m-m.i-i.n-n.au-O.x-#)
abécédaire,abesedER,(a-a.b-b.é-e.c-s.é-e.d-d.ai-E.r-R.e-#)
abeille,abEj,(a-a.b-b.e-E.ill-j.e-#)
abeilles,abEj,(a-a.b-b.e-E.ill-j.e-#.s-#)
abel,abEl,(a-a.b-b.e-E.l-l)
abîma,abima,(a-a.b-b.î-i.m-m.a-a)
abîmait,abimE,(a-a.b-b.î-i.m-m.ai-E.t-#)
abîme,abim,(a-a.b-b.î-i.m-m.e-#)
abîme,abim,(a-a.b-b.î-i.m-m.e-#)
abîmé,abime,(a-a.b-b.î-i.m-m.é-e)
abîmée,abime,(a-a.b-b.î-i.m-m.é-e.e-#)
abîmées,abime,(a-a.b-b.î-i.m-m.é-e.e-#.s-#)
abîment,abim,(a-a.b-b.î-i.m-m.e-#.n-#.t-#)
abîmer,abime,(a-a.b-b.î-i.m-m.er-e)
abîmerait,abimRE,(a-a.b-b.î-i.m-m.e-#.r-R.ai-E.t-#)
abîmes,abim,(a-a.b-b.î-i.m-m.e-#.s-#)
abîmes,abim,(a-a.b-b.î-i.m-m.e-#.s-#)
abîmés,abime,(a-a.b-b.î-i.m-m.é-e.s-#)
abîmez,abime,(a-a.b-b.î-i.m-m.ez-e)
abîmons,abim§,(a-a.b-b.î-i.m-m.on-§.s-#)
ablette,ablEt,(a-a.b-b.l-l.e-E.tt-t.e-#)
ablettes,ablEt,(a-a.b-b.l-l.e-E.tt-t.e-#.s-#)
aboie,abwa,(a-a.b-b.oi-wa.e-#)
aboiement,abwam@,(a-a.b-b.oi-wa.e-#.m-m.en-@.t-#)
aboiements,abwam@,(a-a.b-b.oi-wa.e-#.m-m.en-@.t-#.s-#)
aboient,abwa,(a-a.b-b.oi-wa.e-#.n-#.t-#)
aboiera,abwaRa,(a-a.b-b.oi-wa.e-#.r-R.a-a)
aboies,abwa,(a-a.b-b.oi-wa.e-#.s-#)
abois,abwa,(a-a.b-b.oi-wa.s-#)
abolition,abolisj§,(a-a.b-b.o-o.l-l.i-i.t-s.i-j.on-§)
abominable,abominabl%,(a-a.b-b.o-o.m-m.i-i.n-n.a-a.b-b.l-l.e-%)
abominablement,abominabl%m@,(a-a.b-b.o-o.m-m.i-i.n-n.a-a.b-b.l-l.e-%.m-m.en-@.t-#)
abominables,abominabl%,(a-a.b-b.o-o.m-m.i-i.n-n.a-a.b-b.l-l.e-%.s-#)
abomination,abominasj§,(a-a.b-b.o-o.m-m.i-i.n-n.a-a.t-s.i-j.on-§)
abondaient,ab§dE,(a-a.b-b.on-§.d-d.ai-E.e-#.n-#.t-#)
abondamment,ab§dam@,(a-a.b-b.on-§.d-d.a-a.mm-m.en-@.t-#)
abondance,ab§d@s,(a-a.b-b.on-§.d-d.an-@.c-s.e-#)
abondant,ab§d@,(a-a.b-b.on-§.d-d.an-@.t-#)
abondant,ab§d@,(a-a.b-b.on-§.d-d.an-@.t-#)
abondante,ab§d@t,(a-a.b-b.on-§.d-d.an-@.t-t.e-#)
abondantes,ab§d@t,(a-a.b-b.on-§.d-d.an-@.t-t.e-#.s-#)
abondants,ab§d@,(a-a.b-b.on-§.d-d.an-@.t-#.s-#)
abondent,ab§d,(a-a.b-b.on-§.d-d.e-#.n-#.t-#)
abonne,abon,(a-a.b-b.o-o.nn-n.e-#)
abonné,abone,(a-a.b-b.o-o.nn-n.é-e)
abonné,abone,(a-a.b-b.o-o.nn-n.é-e)
abonnement,abonm@,(a-a.b-b.o-o.nn-n.e-#.m-m.en-@.t-#)
abonnements,abonm@,(a-a.b-b.o-o.nn-n.e-#.m-m.en-@.t-#.s-#)
abonner,abone,(a-a.b-b.o-o.nn-n.er-e)
abonnés,abone,(a-a.b-b.o-o.nn-n.é-e.s-#)
abonnés,abone,(a-a.b-b.o-o.nn-n.é-e.s-#)
abonnés,abone,(a-a.b-b.o-o.nn-n.é-e.s-#)
abord,aboR,(a-a.b-b.o-o.r-R.d-#)
aborda,aboRda,(a-a.b-b.o-o.r-R.d-d.a-a)
abordage,aboRdaZ,(a-a.b-b.o-o.r-R.d-d.a-a.g-Z.e-#)
abordai,aboRdE,(a-a.b-b.o-o.r-R.d-d.ai-E)
abordait,aboRdE,(a-a.b-b.o-o.r-R.d-d.ai-E.t-#)
abordâmes,aboRdam,(a-a.b-b.o-o.r-R.d-d.â-a.m-m.e-#.s-#)
abordant,aboRd@,(a-a.b-b.o-o.r-R.d-d.an-@.t-#)
aborde,aboRd%,(a-a.b-b.o-o.r-R.d-d.e-%)
aborder,aboRde,(a-a.b-b.o-o.r-R.d-d.er-e)
abordèrent,aboRdER,(a-a.b-b.o-o.r-R.d-d.è-E.r-R.e-#.n-#.t-#)
abordés,aboRde,(a-a.b-b.o-o.r-R.d-d.é-e.s-#)
abordés,aboRde,(a-a.b-b.o-o.r-R.d-d.é-e.s-#)
abordions,aboRdj§,(a-a.b-b.o-o.r-R.d-d.i-j.on-§.s-#)
abords,aboR,(a-a.b-b.o-o.r-R.d-#.s-#)
aborigènes,aboRiZEn,(a-a.b-b.o-o.r-R.i-i.g-Z.è-E.n-n.e-#.s-#)
abouché,abuSe,(a-a.b-b.ou-u.ch-S.é-e)
abouti,abuti,(a-a.b-b.ou-u.t-t.i-i)
aboutir,abutiR,(a-a.b-b.ou-u.t-t.i-i.r-R)
aboutira,abutiRa,(a-a.b-b.ou-u.t-t.i-i.r-R.a-a)
aboutissaient,abutisE,(a-a.b-b.ou-u.t-t.i-i.ss-s.ai-E.e-#.n-#.t-#)
aboutissait,abutisE,(a-a.b-b.ou-u.t-t.i-i.ss-s.ai-E.t-#)
aboutissement,abutism@,(a-a.b-b.ou-u.t-t.i-i.ss-s.e-#.m-m.en-@.t-#)
aboutissent,abutis,(a-a.b-b.ou-u.t-t.i-i.ss-s.e-#.n-#.t-#)
aboutit,abuti,(a-a.b-b.ou-u.t-t.i-i.t-#)
aboya,ab4a,(a-a.b-b.oy-4.a-a)
aboyaient,ab4E,(a-a.b-b.oy-4.ai-E.e-#.n-#.t-#)
aboyait,ab4E,(a-a.b-b.oy-4.ai-E.t-#)
aboyant,ab4@,(a-a.b-b.oy-4.an-@.t-#)
aboyé,ab4e,(a-a.b-b.oy-4.é-e)
aboyer,ab4e,(a-a.b-b.oy-4.er-e)
abracadabra,abRakadabRa,(a-a.b-b.r-R.a-a.c-k.a-a.d-d.a-a.b-b.r-R.a-a)
abracadabrant,abRakadabR@,(a-a.b-b.r-R.a-a.c-k.a-a.d-d.a-a.b-b.r-R.an-@.t-#)
abrasion,abRazj§,(a-a.b-b.r-R.a-a.s-z.i-j.on-§)
abrège,abREZ,(a-a.b-b.r-R.è-E.g-Z.e-#)
abrégé,abReZe,(a-a.b-b.r-R.é-e.g-Z.é-e)
abrégé,abReZe,(a-a.b-b.r-R.é-e.g-Z.é-e)
abrégé,abReZe,(a-a.b-b.r-R.é-e.g-Z.é-e)
abrégeant,abReZ@,(a-a.b-b.r-R.é-e.ge-Z.an-@.t-#)
abrégées,abReZe,(a-a.b-b.r-R.é-e.g-Z.é-e.e-#.s-#)
abréger,abReZe,(a-a.b-b.r-R.é-e.g-Z.er-e)
abreuvait,abR9vE,(a-a.b-b.r-R.eu-9.v-v.ai-E.t-#)
abreuver,abR9ve,(a-a.b-b.r-R.eu-9.v-v.er-e)
abreuvoir,abR9vwaR,(a-a.b-b.r-R.eu-9.v-v.oi-wa.r-R)
abréviation,abRevjasj§,(a-a.b-b.r-R.é-e.v-v.i-j.a-a.t-s.i-j.on-§)
abréviations,abRevjasj§,(a-a.b-b.r-R.é-e.v-v.i-j.a-a.t-s.i-j.on-§.s-#)
abri,abRi,(a-a.b-b.r-R.i-i)
abricot,abRikO,(a-a.b-b.r-R.i-i.c-k.o-O.t-#)
abricot,abRikO,(a-a.b-b.r-R.i-i.c-k.o-O.t-#)
abricotier,abRikotje,(a-a.b-b.r-R.i-i.c-k.o-o.t-t.i-j.er-e)
abricotiers,abRikotje,(a-a.b-b.r-R.i-i.c-k.o-o.t-t.i-j.er-e.s-#)
abricots,abRikO,(a-a.b-b.r-R.i-i.c-k.o-O.t-#.s-#)
abris,abRi,(a-a.b-b.r-R.i-i.s-#)
abritaient,abRitE,(a-a.b-b.r-R.i-i.t-t.ai-E.e-#.n-#.t-#)
abritait,abRitE,(a-a.b-b.r-R.i-i.t-t.ai-E.t-#)
abritant,abRit@,(a-a.b-b.r-R.i-i.t-t.an-@.t-#)
abrite,abRit,(a-a.b-b.r-R.i-i.t-t.e-#)
abrité,abRite,(a-a.b-b.r-R.i-i.t-t.é-e)
abrité,abRite,(a-a.b-b.r-R.i-i.t-t.é-e)
abritée,abRite,(a-a.b-b.r-R.i-i.t-t.é-e.e-#)
abritée,abRite,(a-a.b-b.r-R.i-i.t-t.é-e.e-#)
abritent,abRit,(a-a.b-b.r-R.i-i.t-t.e-#.n-#.t-#)
abriter,abRite,(a-a.b-b.r-R.i-i.t-t.er-e)
abritons,abRit§,(a-a.b-b.r-R.i-i.t-t.on-§.s-#)
abrupt,abRypt,(a-a.b-b.r-R.u-y.p-p.t-t)
abrupte,abRypt%,(a-a.b-b.r-R.u-y.p-p.t-t.e-%)
abruptes,abRypt%,(a-a.b-b.r-R.u-y.p-p.t-t.e-%.s-#)
abruti,abRyti,(a-a.b-b.r-R.u-y.t-t.i-i)
abrutie,abRyti,(a-a.b-b.r-R.u-y.t-t.i-i.e-#)
abrutie,abRyti,(a-a.b-b.r-R.u-y.t-t.i-i.e-#)
abrutis,abRyti,(a-a.b-b.r-R.u-y.t-t.i-i.s-#)
absence,aps@s,(a-a.b-p.s-s.en-@.c-s.e-#)
absences,aps@s,(a-a.b-p.s-s.en-@.c-s.e-#.s-#)
absent,aps@,(a-a.b-p.s-s.en-@.t-#)
absent,aps@,(a-a.b-p.s-s.en-@.t-#)
absentait,aps@tE,(a-a.b-p.s-s.en-@.t-t.ai-E.t-#)
absente,aps@t,(a-a.b-p.s-s.en-@.t-t.e-#)
absente,aps@t,(a-a.b-p.s-s.en-@.t-t.e-#)
absenté,aps@te,(a-a.b-p.s-s.en-@.t-t.é-e)
absentée,aps@te,(a-a.b-p.s-s.en-@.t-t.é-e.e-#)
absentent,aps@t,(a-a.b-p.s-s.en-@.t-t.e-#.n-#.t-#)
absenter,aps@te,(a-a.b-p.s-s.en-@.t-t.er-e)
absentes,aps@t,(a-a.b-p.s-s.en-@.t-t.e-#.s-#)
absentez,aps@te,(a-a.b-p.s-s.en-@.t-t.ez-e)
absents,aps@,(a-a.b-p.s-s.en-@.t-#.s-#)
absolu,apsoly,(a-a.b-p.s-s.o-o.l-l.u-y)
absolu,apsoly,(a-a.b-p.s-s.o-o.l-l.u-y)
absolue,apsoly,(a-a.b-p.s-s.o-o.l-l.u-y.e-#)
absolument,apsolym@,(a-a.b-p.s-s.o-o.l-l.u-y.m-m.en-@.t-#)
absorba,apsoRba,(a-a.b-p.s-s.o-o.r-R.b-b.a-a)
absorbait,apsoRbE,(a-a.b-p.s-s.o-o.r-R.b-b.ai-E.t-#)
absorbant,apsoRb@,(a-a.b-p.s-s.o-o.r-R.b-b.an-@.t-#)
absorbante,apsoRb@t,(a-a.b-p.s-s.o-o.r-R.b-b.an-@.t-t.e-#)
absorbants,apsoRb@,(a-a.b-p.s-s.o-o.r-R.b-b.an-@.t-#.s-#)
absorbe,apsoRb%,(a-a.b-p.s-s.o-o.r-R.b-b.e-%)
absorbé,apsoRbe,(a-a.b-p.s-s.o-o.r-R.b-b.é-e)
absorbé,apsoRbe,(a-a.b-p.s-s.o-o.r-R.b-b.é-e)
absorbée,apsoRbe,(a-a.b-p.s-s.o-o.r-R.b-b.é-e.e-#)
absorbée,apsoRbe,(a-a.b-p.s-s.o-o.r-R.b-b.é-e.e-#)
absorber,apsoRbe,(a-a.b-p.s-s.o-o.r-R.b-b.er-e)
absorbés,apsoRbe,(a-a.b-p.s-s.o-o.r-R.b-b.é-e.s-#)
absorbés,apsoRbe,(a-a.b-p.s-s.o-o.r-R.b-b.é-e.s-#)
abstenir,apst%niR,(a-a.b-p.s-s.t-t.e-%.n-n.i-i.r-R)
abstention,apst@sj§,(a-a.b-p.s-s.t-t.en-@.t-s.i-j.on-§)
abstentions,apst@sj§,(a-a.b-p.s-s.t-t.en-@.t-s.i-j.on-§.s-#)
abstenu,apst%ny,(a-a.b-p.s-s.t-t.e-%.n-n.u-y)
abstient,apstj5,(a-a.b-p.s-s.t-t.i-j.en-5.t-#)
abstint,apst5,(a-a.b-p.s-s.t-t.in-5.t-#)
abstrait,apstRE,(a-a.b-p.s-s.t-t.r-R.ai-E.t-#)
absurde,apsyRd%,(a-a.b-p.s-s.u-y.r-R.d-d.e-%)
absurdes,apsyRd%,(a-a.b-p.s-s.u-y.r-R.d-d.e-%.s-#)
absurdité,apsyRdite,(a-a.b-p.s-s.u-y.r-R.d-d.i-i.t-t.é-e)
absurdités,apsyRdite,(a-a.b-p.s-s.u-y.r-R.d-d.i-i.t-t.é-e.s-#)
abuse,abyz,(a-a.b-b.u-y.s-z.e-#)
abuser,abyze,(a-a.b-b.u-y.s-z.er-e)
abuserait,abyzRE,(a-a.b-b.u-y.s-z.e-#.r-R.ai-E.t-#)
abuseras,abyzRa,(a-a.b-b.u-y.s-z.e-#.r-R.a-a.s-#)
abusez,abyze,(a-a.b-b.u-y.s-z.ez-e)
abusif,abyzif,(a-a.b-b.u-y.s-z.i-i.f-f)
acacia,akasja,(a-a.c-k.a-a.c-s.i-j.a-a)
acacias,akasja,(a-a.c-k.a-a.c-s.i-j.a-a.s-#)
académiciens,akademisj5,(a-a.c-k.a-a.d-d.é-e.m-m.i-i.c-s.i-j.en-5.s-#)
académie,akademi,(a-a.c-k.a-a.d-d.é-e.m-m.i-i.e-#)
académies,akademi,(a-a.c-k.a-a.d-d.é-e.m-m.i-i.e-#.s-#)
académique,akademik,(a-a.c-k.a-a.d-d.é-e.m-m.i-i.qu-k.e-#)
académiques,akademik,(a-a.c-k.a-a.d-d.é-e.m-m.i-i.qu-k.e-#.s-#)
acajou,akaZu,(a-a.c-k.a-a.j-Z.ou-u)
acariens,akaRj5,(a-a.c-k.a-a.r-R.i-j.en-5.s-#)
accabla,akAbla,(a-a.cc-k.a-A.b-b.l-l.a-a)
accablait,akAblE,(a-a.cc-k.a-A.b-b.l-l.ai-E.t-#)
accablante,akAbl@t,(a-a.cc-k.a-A.b-b.l-l.an-@.t-t.e-#)
accable,akAbl%,(a-a.cc-k.a-A.b-b.l-l.e-%)
accablé,akAble,(a-a.cc-k.a-A.b-b.l-l.é-e)
accablé,akAble,(a-a.cc-k.a-A.b-b.l-l.é-e)
accablée,akAble,(a-a.cc-k.a-A.b-b.l-l.é-e.e-#)
accablée,akAble,(a-a.cc-k.a-A.b-b.l-l.é-e.e-#)
accablement,akAbl%m@,(a-a.cc-k.a-A.b-b.l-l.e-%.m-m.en-@.t-#)
accalmie,akalmi,(a-a.cc-k.a-a.l-l.m-m.i-i.e-#)
accalmies,akalmi,(a-a.cc-k.a-a.l-l.m-m.i-i.e-#.s-#)
accaparé,akapaRe,(a-a.cc-k.a-a.p-p.a-a.r-R.é-e)
accastillage,akastijaZ,(a-a.cc-k.a-a.s-s.t-t.ill-ij.a-a.g-Z.e-#)
accéder,aksede,(a-a.cc-ks.é-e.d-d.er-e)
accéléra,akseleRa,(a-a.cc-ks.é-e.l-l.é-e.r-R.a-a)
accélérait,akseleRE,(a-a.cc-ks.é-e.l-l.é-e.r-R.ai-E.t-#)
accélérant,akseleR@,(a-a.cc-ks.é-e.l-l.é-e.r-R.an-@.t-#)
accélérateur,akseleRat9R,(a-a.cc-ks.é-e.l-l.é-e.r-R.a-a.t-t.eu-9.r-R)
accélération,akseleRasj§,(a-a.cc-ks.é-e.l-l.é-e.r-R.a-a.t-s.i-j.on-§)
accélère,akselER,(a-a.cc-ks.é-e.l-l.è-E.r-R.e-#)
accéléré,akseleRe,(a-a.cc-ks.é-e.l-l.é-e.r-R.é-e)
accélérée,akseleRe,(a-a.cc-ks.é-e.l-l.é-e.r-R.é-e.e-#)
accélèrent,akselER,(a-a.cc-ks.é-e.l-l.è-E.r-R.e-#.n-#.t-#)
accélérer,akseleRe,(a-a.cc-ks.é-e.l-l.é-e.r-R.er-e)
accélérerait,akseleR%RE,(a-a.cc-ks.é-e.l-l.é-e.r-R.e-%.r-R.ai-E.t-#)
accélérèrent,akseleRER,(a-a.cc-ks.é-e.l-l.é-e.r-R.è-E.r-R.e-#.n-#.t-#)
accélérons,akseleR§,(a-a.cc-ks.é-e.l-l.é-e.r-R.on-§.s-#)
accent,aks@,(a-a.cc-ks.en-@.t-#)
accents,aks@,(a-a.cc-ks.en-@.t-#.s-#)
accentuant,aks@t8@,(a-a.cc-ks.en-@.t-t.u-8.an-@.t-#)
accentue,aks@ty,(a-a.cc-ks.en-@.t-t.u-y.e-#)
accentuer,aks@t8e,(a-a.cc-ks.en-@.t-t.u-8.er-e)
accentués,aks@t8e,(a-a.cc-ks.en-@.t-t.u-8.é-e.s-#)
accentués,aks@t8e,(a-a.cc-ks.en-@.t-t.u-8.é-e.s-#)
accepta,aksEpta,(a-a.cc-ks.e-E.p-p.t-t.a-a)
acceptaient,aksEptE,(a-a.cc-ks.e-E.p-p.t-t.ai-E.e-#.n-#.t-#)
acceptait,aksEptE,(a-a.cc-ks.e-E.p-p.t-t.ai-E.t-#)
acceptant,aksEpt@,(a-a.cc-ks.e-E.p-p.t-t.an-@.t-#)
